Charge description, Average charge/unit , Average self-pay charge/unit (30% discount) 
HAND INN PEG 2.0X20MM P20000, $334.00 , $233.80 
HAND INN PEG SMOOTH 2.0 P16000, $339.00 , $237.30 
HAND INN PLATE DVRASL," $2,857.00 "," $1,999.90 "
HAND INN PLATE DVRAS-R," $2,857.00 "," $1,999.90 "
HAND INN THREADPEG 2.5X18TP18000, $336.00 , $235.20 
HAND INN THREADPEG 2.5X20TP20000, $336.00 , $235.20 
HAND INN THREADPEG 2.5X22TP22000, $336.00 , $235.20 
HAND INN THRPEG2.5X24 MM TP24000, $336.00 , $235.20 
HAND INN TP16000PARTTHREDX16MM, $336.00 , $235.20 
HEAD FEMORAL 28MM V40," $3,344.03 "," $2,340.82 "
HEAD FEMORAL 36MM," $3,406.00 "," $2,384.20 "
HEAD HUMERAL 18MM, $93.00 , $65.10 
HEAD HUMERAL 18MM," $9,092.00 "," $6,364.40 "
HEAD HUMERAL 43X16X1.5," $9,092.00 "," $6,364.40 "
HEAD HUMERAL 50MM DIA," $8,736.00 "," $6,115.20 "
HEAD HUMERAL SZ 52MM," $9,117.00 "," $6,381.90 "
HER 5036964 PALACOS R+G, $697.00 , $487.90 
HIP CUP 54MM E," $10,962.00 "," $7,673.40 "
HIP CUP TRIDENT502-11-60G," $2,930.00 "," $2,051.00 "
HIP HEAD 06-3675, $590.00 , $413.00 
HIP HEAD 06-3675," $3,937.00 "," $2,755.90 "
HIP HEAD 32MM -4MM," $2,180.00 "," $1,526.00 "
HIP HEAD 32MM PLUS," $2,180.00 "," $1,526.00 "
HIP HEAD 32MM PLUS-5, $891.00 , $623.70 
HIP HEAD 32MM PLUS-5," $2,801.00 "," $1,960.70 "
HIP HEAD 32MMX-4MM," $3,576.00 "," $2,503.20 "
HIP HEAD 36MMX-436 LENTH," $4,130.00 "," $2,891.00 "
HIP HEAD 36X+0, $193.50 , $135.45 
HIP HEAD 36X+0," $4,724.00 "," $3,306.80 "
HIP HEAD 36X+10 C TAPER, $744.00 , $520.80 
HIP HEAD 36X+10 C TAPER," $4,418.00 "," $3,092.60 "
HIP HEAD 6570-0-136," $4,130.00 "," $2,891.00 "
HIP HEAD 6570-0-232," $3,811.00 "," $2,667.70 "
HIP HEAD 6570-0-536," $4,337.00 "," $3,035.90 "
HIP LINER 36MM SZD," $3,305.00 "," $2,313.50 "
HIP LINER TRID 623-10-36G," $2,584.00 "," $1,808.80 "
HIP STEM OMNIFIT SZ8," $9,526.00 "," $6,668.20 "
HOW 0580 1 351 FEM STEM," $24,015.00 "," $16,810.50 "
HOW 06 3200 C TAPER HEAD, $265.00 , $185.50 
HOW 06 3200 C TAPER HEAD, $372.00 , $260.40 
HOW 3003 0822S GAMMA SET SCREW *, $265.00 , $185.50 
HOW 3060 0095S GAMMA LAG SCREW *, $265.00 , $185.50 
HOW 3060 0095S GAMMA LAG SCREW *," $3,833.00 "," $2,683.10 "
HOW 340636 CORTICAL SCREW, $326.00 , $228.20 
HOW 340636 CORTICAL SCREW, $372.00 , $260.40 
HOW 48694014 REFLEX 4.0 SCREW, $810.00 , $567.00 
HOW 52-23622 2.3 LCK SCREW," $1,012.00 ", $708.40 
HOW 5260 4 000 PLUG, $506.00 , $354.20 
HOW 5531-G-309 TIBIAL INSERT," $5,756.00 "," $4,029.20 "
HOW 602695 TITANIUM SCREW," $19,510.00 "," $13,657.00 "
HOW 602930 6.5 SCREW," $1,670.00 "," $1,169.00 "
HOW 6052 0730A HIP STEM," $15,305.00 "," $10,713.50 "
HOW 6076 0625 HIP STEM," $6,690.00 "," $4,683.00 "
HOW 6183 2 008 CERVICAL BONE, $372.00 , $260.40 
HOW 621 10 36G INSERT *, $265.00 , $185.50 
HOW 621 10 36G INSERT *," $10,443.00 "," $7,310.10 "
HOW 623-10-28D TRI POLY INSERT, $493.00 , $345.10 
HOW 625 0T 28D ALUMINA INSERT, $326.00 , $228.20 
HOW 625 0T 28D ALUMINA INSERT," $3,599.00 "," $2,519.30 "
HOW 653002 ALLOCRAFT DBM," $2,684.00 "," $1,878.80 "
HOW 6565 0 232 ALUMINA FEM HEAD," $24,015.00 "," $16,810.50 "
HOW 6704-0-410 CABLE AND SLEEVE, $232.00 , $162.40 
HOW 690-10-28H INSERT," $12,123.00 "," $8,486.10 "
HOW 72 5 0710 SCORPIO INSERT #7, $119.00 , $83.30 
HOW 72 5 0710 SCORPIO INSERT #7," $3,946.00 "," $2,762.20 "
HOW EXETER HEAD-OBSOLETE, $185.00 , $129.50 
HOW EXETER HEAD-OBSOLETE," $3,533.00 "," $2,473.10 "
HOW HEADLESS PIN-OBSOLETE, $566.00 , $396.20 
HOW HINGE FEM COMP-OBSOLETE, $566.00 , $396.20 
HOW LOCKING SCREW 375065, $14.00 , $9.80 
HOW STANDARD AXLE-OBSOLETE, $566.00 , $396.20 
HOW STANDARD BUMPER-OBSOLETE, $566.00 , $396.20 
HOW STEINMAN PIN-OBSOLETE, $306.00 , $214.20 
HOW STEINMAN PIN-OBSOLETE," $4,069.00 "," $2,848.30 "
HOW TIBIAL INSERT-OBSOLETE, $566.00 , $396.20 
HOW TIBIAL NAIL 35182270 OBSOLETE, $14.00 , $9.80 
HYSTEROSCOPE," $1,039.00 ", $727.30 
IMPLANT BREAST 485CC INSPIRA," $4,030.00 "," $2,821.00 "
IMPLANT BREAST 560CC SFT TOUCH," $4,030.00 "," $2,821.00 "
IMPLANT BREAST 650CC INSPIRA, $744.00 , $520.80 
IMPLANT BREAST 650CC INSPIRA," $3,166.00 "," $2,216.20 "
IMPLANT BREAST 695CC SOFTTOUCH, $154.00 , $107.80 
IMPLANT BREAST 695CC SOFTTOUCH," $4,030.00 "," $2,821.00 "
IMPLANT BREAST INSPIRA 415CC," $3,166.00 "," $2,216.20 "
IMPLANT BREAST INSPIRA 445CC, $154.00 , $107.80 
IMPLANT BREAST INSPIRA 445CC," $3,166.00 "," $2,216.20 "
IMPLANT BREAST INSPIRA 485CC," $1,015.00 ", $710.50 
IMPLANT BREAST INSPIRA 485CC," $3,166.00 "," $2,216.20 "
IMPLANT BREAST INSPIRA 560CC, $83.00 , $58.10 
IMPLANT BREAST INSPIRA 560CC," $3,166.00 "," $2,216.20 "
IMPLANT BREAST INSPIRA 600CC," $3,166.00 "," $2,216.20 "
IMPLANT BREAST INSPIRA 61850CC," $3,166.00 "," $2,216.20 "
IMPLANT BREAST MEM GEL 595C," $2,760.00 "," $1,932.00 "
IMPLANT HAT-TRICK 2.7MM X 15," $4,604.00 "," $3,222.80 "
IMPLANT NATRELLE INSPIRA 520CC," $4,030.00 "," $2,821.00 "
IMPLANT NATRELLE INSPIRA 650CC," $4,030.00 "," $2,821.00 "
INA 10-550 BREAST IMPLANT, $810.00 , $567.00 
INSERT ARTIC LEGION SZ 7-8 12MM," $4,718.00 "," $3,302.60 "
INSERT ARTIC SZ 5-6 11MM," $4,633.00 "," $3,243.10 "
INSERT ARTIC SZ 5-6 18MM," $4,633.00 "," $3,243.10 "
INSERT ARTIC SZ 5-6 18MM," $5,115.00 "," $3,580.50 "
INSERT HIGH FLEXION SZ 5-6 12MM," $4,718.00 "," $3,302.60 "
INSERT LEGION SZ 7-8 10MM," $4,718.00 "," $3,302.60 "
INSERT REVERSED 36MM," $3,511.00 "," $2,457.70 "
INSERT RVRS 39MM," $3,447.00 "," $2,412.90 "
INSERT VIVACET-E RT 10MM SZ 8-9, $744.00 , $520.80 
INSERT VIVACET-E RT 10MM SZ 8-9," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E (42-5221-003-10)," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E LT 10MM SZ 10-11," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E LT 10MM SZ 4-5," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E LT 10MM SZ 8-11, $151.00 , $105.70 
INSERT VIVACIT-E LT 10MM SZ 8-11," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E LT 10MM SZ 8-9," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E LT POLY 10MM," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E RT 10MM SZ 4-5," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E RT 10MM SZ 6-7," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E RT 10MM SZ 8-11," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-E RT 11MM SZ 6-7," $4,650.00 "," $3,255.00 "
INSERT VIVACIT-RT 11MM SZ 8-9," $4,650.00 "," $3,255.00 "
INSRT LEGN HIGH FLEX SZ 3-4 12MM," $4,718.00 "," $3,302.60 "
INT 02-2110-050 PUTTY ORTHOBLAST, $612.64 , $428.85 
INT 02-2110-100 PUTTY ORTHOBLAST," $3,391.00 "," $2,373.70 "
JOH 3013SP SURGICEL POWDER 3GM, $506.00 , $354.20 
JOINTRESTOR DBM PUTTY 1CC, $660.00 , $462.00 
KIT INVISIKNOT SYNDEMOSIS REPAIR, $551.00 , $385.70 
KIT INVISIKNOT SYNDEMOSIS REPAIR," $2,948.00 "," $2,063.60 "
KNEE FEMORAL COM7142-0006," $8,418.00 "," $5,892.60 "
KNEE FEMORAL COM7142-0008," $7,767.00 "," $5,436.90 "
KNEE FEMORAL COM7142-0010," $7,767.00 "," $5,436.90 "
KNEE FEMORAL COM7142-0012," $7,767.00 "," $5,436.90 "
KNEE FEMORAL COM7142-0014," $8,418.00 "," $5,892.60 "
KNEE FEMORAL LT SZ6," $7,247.00 "," $5,072.90 "
KNEE FEMORAL OX 7142-0134," $10,305.00 "," $7,213.50 "
KNEE FEMORAL OX 7142-0136," $10,340.00 "," $7,238.00 "
KNEE INSERT 11MM 2, $138.00 , $96.60 
KNEE INSERT 11MM 2," $5,028.00 "," $3,519.60 "
KNEE INSERT 11MM 3, $347.00 , $242.90 
KNEE INSERT 11MM 3," $4,882.00 "," $3,417.40 "
KNEE INSERT 13MM," $4,882.00 "," $3,417.40 "
KNEE INSERT 13MM 5-6 2," $5,028.00 "," $3,519.60 "
KNEE INSERT COMP7142-0766," $3,472.00 "," $2,430.40 "
KNEE INSERT COMP7142-0768," $3,533.00 "," $2,473.10 "
KNEE INSERT COMP7142-0778," $3,533.00 "," $2,473.10 "
KNEE INSERT COMP7142-0780," $3,533.00 "," $2,473.10 "
KNEE INSERT COMP7142-0782," $3,533.00 "," $2,473.10 "
KNEE PATELLA 5550-G-339," $2,846.00 "," $1,992.20 "
KNEE PATELLA COM7142-0576," $2,469.00 "," $1,728.30 "
KNEE PATELLA COM7142-0578," $2,469.00 "," $1,728.30 "
KNEE TIBIAL COMP7142-0186," $5,104.00 "," $3,572.80 "
KNEE TIBIAL SZ6, $144.00 , $100.80 
KNEE TIBIAL SZ6," $5,652.00 "," $3,956.40 "
K-WIRE 1.6MM X 61MM, $88.00 , $61.60 
KYP CX01A KYPHX BONE CEMENT, $72.00 , $50.40 
KYP CX01A KYPHX BONE CEMENT, $500.00 , $350.00 
LASER," $3,459.00 "," $2,421.30 "
LASER CATHETER," $6,706.00 "," $4,694.20 "
LDR MOBI-C CERV DISC PROSTHESIS," $15,600.00 "," $10,920.00 "
LEI 50-23410 2.3MM BONE SCREW, $294.00 , $205.80 
LEI 55-10504 MINI PLATE 4 HOLE," $2,848.00 "," $1,993.60 "
LEI CMF MOD PLATE 01-08203," $10,304.00 "," $7,212.80 "
LEI CMF MOD SCREW 52-82006," $10,340.00 "," $7,238.00 "
LEI PLATE 54-05105," $10,340.00 "," $7,238.00 "
LEI T-PLATE LONG 54-06241, $212.00 , $148.40 
LEI T-PLATE LONG 54-06241," $13,837.00 "," $9,685.90 "
LIF 13125255 AORTIC VALVE, $422.00 , $295.40 
LIF 13125255 AORTIC VALVE," $26,250.00 "," $18,375.00 "
LIF 1520616 ALLODERM 6 X 16 CM," $7,367.00 "," $5,156.90 "
LIF CRYO VEIN 71CM - 80CM," $22,157.00 "," $15,509.90 "
LIF CV61-70 CRYO VEIN 61-70CM," $20,927.00 "," $14,648.90 "
LIF PCAN15 14 CANCELLOUS CHIPS, $520.57 , $364.40 
LIF PCAN30 14 CANC CHIPS 30CC, $995.00 , $696.50 
LIF TGEL01 GEL DBM OPTIUM 1CC, $556.00 , $389.20 
LIF TGEL05 GEL DBM OPTIUM 5CC," $2,218.00 "," $1,552.60 "
LIF TGEL10 GEL DBM OPTIUM 10CC," $3,034.86 "," $2,124.40 "
LIF TPUT05 PUTTY DBM OPTIUM 5CC," $1,742.00 "," $1,219.40 "
LIF TPUT10 PUTTY DBM OPTIUM 10CC," $2,700.00 "," $1,890.00 "
LIF VG1C-T57P CERV LORDOTIC," $2,484.00 "," $1,738.80 "
LINVATEC MED SUTURE PASSER," $3,372.00 "," $2,360.40 "
LOR L-PLATE 01-7036," $10,340.00 "," $7,238.00 "
MAJOR-OPERATING TIME 1ST 60 MIN, $432.00 , $302.40 
MARKER BIOZORB 3CM X 3CM X 1CM," $3,100.00 "," $2,170.00 "
MASK ANESTHESIA SOFT," $7,767.00 "," $5,436.90 "
MEADOX DBL VAS GRAFT 16X8X8," $5,097.00 "," $3,567.90 "
MED 0112770 BARD MESH PLUG LG, $331.00 , $231.70 
MED 0112770 BARD MESH PLUG LG, $536.00 , $375.20 
MED 3998CWS SPECIFY LOAD, $87.00 , $60.90 
MED 4968-60 LEAD," $2,429.00 "," $1,700.30 "
MED 6972660 SOFAMOR DANEK CERV DC," $15,600.00 "," $10,920.00 "
MED 7600709 MASTERGRAFT PTY 9CC, $557.00 , $389.90 
MED 8780 CATHETER," $2,851.00 "," $1,995.70 "
MED 8781 CATHETER," $2,409.08 "," $1,686.35 "
MED 8784 INTRATHECAL CATHETER," $1,898.33 "," $1,328.83 "
MED 8835 PERSONAL THERAPY MGR," $2,191.46 "," $1,534.02 "
MED 97714 BATTERY," $41,652.00 "," $29,156.40 "
MED 97755 RECHARGER," $2,806.00 "," $1,964.20 "
MED 977A160 LEAD KIT, $232.00 , $162.40 
MED 977A160 LEAD KIT," $5,843.00 "," $4,090.10 "
MED 977A260 LEAD KIT, $180.00 , $126.00 
MED 977A260 LEAD KIT," $6,045.00 "," $4,231.50 "
MED 98716250 6.5 SCREW," $4,483.00 "," $3,138.10 "
MED CAP COMP PED 3 PART SCREW," $2,931.00 "," $2,051.70 "
MED CAP COMP ROD LESS THAN 300MM, $670.00 , $469.00 
MED CAP COMP ROD LESS THAN 300MM," $2,848.00 "," $1,993.60 "
MED CAP COMP SET SCREW," $2,858.00 "," $2,000.60 "
MED CF-5260 PERI DIALYSIS CATH, $213.50 , $149.45 
MED CF-5260 PERI DIALYSIS CATH, $583.00 , $408.10 
MED CX01B KYPHON XPEDE BONE CEMNT, $714.00 , $499.80 
MED PAIN CAP PROGRAMMER/HANDSET," $2,680.00 "," $1,876.00 "
MED PAIN PUMP KIT," $28,500.00 "," $19,950.00 "
MED SPI COMP CERV PLATE 3&4 LEVEL," $3,100.00 "," $2,170.00 "
MED SPI COMP CV PLT 1-2 LEVEL," $2,341.00 "," $1,638.70 "
MED SPI COMP DOMINO CONNECTOR," $2,931.00 "," $2,051.70 "
MED SPI TRANSLATIONAL PLATE," $3,410.00 "," $2,387.00 "
MED W1DR01 AZURE XT PACEMAKER," $14,053.00 "," $9,837.10 "
MEDICAL IMAGING SUPPLIES, $728.00 , $509.60 
MEDICAL IMAGING SUPPLIES PORT," $2,140.00 "," $1,498.00 "
MEDICAL IMAGING SUPPLIES STENT," $3,622.00 "," $2,535.40 "
MEDICAL IMG SUP URETERAL STENT, $850.00 , $595.00 
MEDICAL IMG SUP VENT GENERATOR," $24,323.00 "," $17,026.10 "
MEDICAL IMG SUP VENTRICULAR LEAD," $8,577.00 "," $6,003.90 "
MEDICAL IMG SUPPLIES CATHETER," $4,538.00 "," $3,176.60 "
MEDICAL IMG SUPPLIES GENERATOR," $51,975.00 "," $36,382.50 "
MEDICAL IMG SUPPLIES GENERATOR," $52,114.00 "," $36,479.80 "
MEDICAL IMG SUPPLIES ICD LEAD," $9,818.00 "," $6,872.60 "
MEDICAL IMG SUPPLIES LEAD COIL," $13,200.00 "," $9,240.00 "
MEDTRON 977D260," $2,200.00 "," $1,540.00 "
MEDTRONIC 977D260," $1,675.00 "," $1,172.50 "
MENISECTOMY BOVIE TIP, $244.00 , $170.80 
MENISECTOMY BOVIE TIP, $432.00 , $302.40 
MENISECTOMY ELECTRODE," $3,459.00 "," $2,421.30 "
MER CC-2300 TITANIUM CATH CONNCTR, $523.00 , $366.10 
MER CF-5260 PERI DIAL CATHETER, $583.00 , $408.10 
MES 0112750 BARD MESH PLUG, $516.00 , $361.20 
MES 0112760 BARD MEDIUM PLUG, $359.56 , $251.69 
MES 0115312/0115322 XLG 3D MAX, $119.00 , $83.30 
MES 0115312/0115322 XLG 3D MAX, $683.00 , $478.10 
MES 0134680 BARD COMPOSIX MESH, $829.00 , $580.30 
MES 0134680 BARD COMPOSIX MESH," $2,837.00 "," $1,985.90 "
MES 1202025 PHASIX ST MESH," $27,950.00 "," $19,565.00 "
MES 1DLMC02 DUAL MESH, $506.00 , $354.20 
MES 1DLMCP06 GORE DUALMESH PLUS," $2,855.00 "," $1,998.50 "
MES 1DLMCPO4 DUAL MESH, $265.00 , $185.50 
MES 1DLMCPO4 DUAL MESH," $9,597.00 "," $6,717.90 "
MES SMPL01 COVIDIEN HERNIA PLUG, $744.00 , $520.80 
MES SMPM02 COVIDIEN, $304.00 , $212.80 
MES SPMM66 SURGIPRO 6X6, $958.00 , $670.60 
MES SPMM66 SURGIPRO 6X6," $1,065.00 ", $745.50 
MES SYM15 SYMBOTX 15CM," $1,577.25 "," $1,104.08 "
MES SYM2015 SYMBOTEX MESH," $1,894.40 "," $1,326.08 "
MES SYM2520 SYMBOTEX COVIDIEN," $3,012.00 "," $2,108.40 "
MES SYM3020 SYMBOTEX," $1,069.00 ", $748.30 
MES SYM3020 SYMBOTEX," $4,309.00 "," $3,016.30 "
MES SYMBOTEX SYM1510," $1,290.00 ", $903.00 
MES VWMM VICRYL MESH 6X6 ETHICON, $184.00 , $128.80 
MES VWMM VICRYL MESH 6X6 ETHICON," $1,437.00 "," $1,005.90 "
MESH 3D LT 3X5, $590.00 , $413.00 
MESH 3D LT 3X5, $699.00 , $489.30 
MESH 3D LT 4X6, $590.00 , $413.00 
MESH 3D RT 4X6, $590.00 , $413.00 
MESH COMPOSIX 7X9," $3,512.00 "," $2,458.40 "
MESH MARLIX 3X6," $3,691.00 "," $2,583.70 "
MESH MARLX PERFIX PLUG LG," $1,302.00 ", $911.40 
MESH PERFIX LIGHT PLUG MED, $44.00 , $30.80 
MESH PERFIX LIGHT PLUG MED, $704.00 , $492.80 
MESH VENTRALEX ST SZ MED," $1,662.00 "," $1,163.40 "
MESH VENTRALEX ST SZ SM," $1,394.00 ", $975.80 
META-NAIL TRIGEN 11.5 X 30CM," $8,963.00 "," $6,274.10 "
MINI-DRIVER," $1,031.00 ", $721.70 
MINOR-OR ADDTL PER MIN," $3,257.00 "," $2,279.90 "
MONOCRYL 4-0 Y426H, $978.00 , $684.60 
MONOCRYL 5-0 Y493G," $2,953.00 "," $2,067.10 "
MTF 471816 FLEX DERMIS," $9,092.00 "," $6,364.40 "
MYCROMESH 5.0X10, $688.00 , $481.60 
NEURO COMPLEXPLUS SURGERY OR TIME, $556.00 , $389.20 
NEV 44525 IPG KIT," $51,402.00 "," $35,981.40 "
NEV CHGR1000 CHARGER," $4,600.00 "," $3,220.00 "
NEV CHGR1000 CHARGER KIT," $4,600.00 "," $3,220.00 "
NEV NIPG1500 IPG IMPLANT KIT," $51,402.00 "," $35,981.40 "
NEV PTRC 1000 PT REMOTE KIT," $3,311.00 "," $2,317.70 "
NEV PTRC1000 PATIENT REMOTE," $3,311.00 "," $2,317.70 "
NEVRO TR LEAD KT TLEAD1058-50B," $2,597.00 "," $1,817.90 "
NUV 16016545 RELINE MAS SCREW CAN," $3,100.00 "," $2,170.00 "
NUV 5010020 FORMAGRAFT GRANULES," $2,764.00 "," $1,934.80 "
NUV 5010125 GRAFT BLOCK," $3,255.00 "," $2,278.50 "
NUV 5010205 FORMAGRAFT," $1,390.00 ", $973.00 
NUV 5565225 FACET SCREW, $432.00 , $302.40 
NUV 7236200 20MM ROD," $6,670.00 "," $4,669.00 "
NUV 7237250 25MM ROD," $12,123.00 "," $8,486.10 "
NUV 8061100," $5,735.00 "," $4,014.50 "
NUV CAP COMP CERV PLATE LEVEL 3&4," $3,100.00 "," $2,170.00 "
NUV CAP COMPONENT CERVICAL CAGE," $3,100.00 "," $2,170.00 "
NUV CAP TLIF LEVEL 1," $8,550.00 "," $5,985.00 "
NUV COMP CAGE STAND ALONE CERVICA, $135.00 , $94.50 
NUV COMP CAGE STAND ALONE CERVICA," $7,125.00 "," $4,987.50 "
NUV COMP CROSSLINK, $616.00 , $431.20 
NUV COMP CROSSLINK," $2,931.00 "," $2,051.70 "
NUV COMP ROD LESS THAN 300MM, $670.00 , $469.00 
NUV COMP ROD LESS THAN 300MM, $838.00 , $586.60 
NUV COMP WASTED SCREW, $628.00 , $439.60 
NUV SP COMP PEDICLE & 3 PART SCRW," $2,931.00 "," $2,051.70 "
NUV SP COMP ROD W/1 OR 2 BALLS, $189.00 , $132.30 
NUV SPI COMP CAGE EXPANDABLE LUMB," $12,825.00 "," $8,977.50 "
NUV SPI COMP RELINE MAS SHANK," $1,926.00 "," $1,348.20 "
NUV SPI COMP RELINE MAS TULIPHEAD," $1,424.00 ", $996.80 
NUV SPI COMP STAND ALONE LUM CAGE," $16,640.00 "," $11,648.00 "
NYLON 11-0 AA-0130," $2,953.00 "," $2,067.10 "
ORIGIN BALLOON DILATOR," $2,953.00 "," $2,067.10 "
ORT CSS-011-70-070L SCREW, $372.00 , $260.40 
ORTHO MAJOR SURGERY OR TIME," $2,342.00 "," $1,639.40 "
OSTEOLOCK ALETABULAR INSERT," $2,930.00 "," $2,051.00 "
OSTEOLOCK ALTETABNLAR CUP," $2,931.00 "," $2,051.70 "
OSTEOLOCK CANCELLOUS SCREW," $4,443.00 "," $3,110.10 "
PAIN MAJOR ADDITIONAL MIN, $101.69 , $71.18 
PAIN MINOR 1ST 30 MIN," $1,357.00 ", $949.90 
PAR UQI00012 COFLEX," $14,222.00 "," $9,955.40 "
PAT 019575P HEMASHIELD PATCH, $326.00 , $228.20 
PAT 175430P HEMASHIELD PLATINUM," $1,454.00 "," $1,017.80 "
PATELLA 3.5MM OVAL GENESIS II," $6,435.00 "," $4,504.50 "
PATELLA 32MM 7.5MM THICK," $10,606.00 "," $7,424.20 "
PATELLA 32MM OVAL GENESIS II," $8,094.00 "," $5,665.80 "
PATELLA 35MM 7.5MM THICK," $3,038.00 "," $2,126.60 "
PATELLA 38MM X 9.5MM," $7,334.00 "," $5,133.80 "
PATELLA CEMENTED 32MM DIAMETER," $4,464.00 "," $3,124.80 "
PATELLA CEMENTED 35MM DIAMETER," $4,464.00 "," $3,124.80 "
PATELLA COMPONENT SZ 41MM," $6,280.00 "," $4,396.00 "
PATELLA PERSONA 26MM X 7.5MM," $4,464.00 "," $3,124.80 "
PATELLA PERSONA 29MM X 8MM," $4,464.00 "," $3,124.80 "
PERI STRIP 2," $1,675.00 "," $1,172.50 "
PERI STRIP 2," $3,372.00 "," $2,360.40 "
PHY M63020 SET SCREW (HEXALOBE), $14.00 , $9.80 
PLAS COMPLEX 1ST 30 MIN," $3,522.00 "," $2,465.40 "
PLAS MINOR 1ST 30 MIN," $3,257.00 "," $2,279.90 "
PLATE 1.7MM MIDFACE 3-H, $944.00 , $660.80 
PLATE 1/3 TUBULAR 5H 62MM, $971.00 , $679.70 
PLATE 1/3RD TUBULAR 7-HOLE, $348.00 , $243.60 
PLATE 1/3RD TUBULAR 7-HOLE, $733.00 , $513.10 
PLATE 1/3RD TUBULAR 8 HOLE, $533.00 , $373.10 
PLATE 12-HOLES 241.421, $527.00 , $368.90 
PLATE 2.0 STRENGTH 6 HOLE," $2,891.00 "," $2,023.70 "
PLATE 2.0MM  T  EVOS, $156.00 , $109.20 
PLATE 2.0MM  T  EVOS," $2,797.00 "," $1,957.90 "
PLATE 2.0MM FLEX 6H," $2,891.00 "," $2,023.70 "
PLATE 2.0MM X 7H STR LINE," $3,612.00 "," $2,528.40 "
PLATE 2.4MM  Y  TINE PLATE 5H," $1,015.00 ", $710.50 
PLATE 2.4MM  Y  TINE PLATE 5H," $4,290.00 "," $3,003.00 "
PLATE 2.4MM T-PLATE," $4,725.00 "," $3,307.50 "
PLATE 2.7/3.5 LAT DIST FIBULA 5H, $216.00 , $151.20 
PLATE 2.7/3.5 LAT DIST FIBULA 5H," $4,046.00 "," $2,832.20 "
PLATE 3.5MM 1/3 X 8H LKG, $153.00 , $107.10 
PLATE 3.5MM 1/3 X 8H LKG," $1,698.00 "," $1,188.60 "
PLATE 3.5MM X 80MM CLAVICLE," $3,410.00 "," $2,387.00 "
PLATE 5H RIGHT LAT FIBULA," $2,094.00 "," $1,465.80 "
PLATE 5H RIGHT LAT FIBULA," $4,914.00 "," $3,439.80 "
PLATE 5HOLE LEFT 77MM," $5,143.00 "," $3,600.10 "
PLATE 6H 2.4MM STRENGTH," $2,981.00 "," $2,086.70 "
PLATE 7HOLE 103MM," $5,564.00 "," $3,894.80 "
PLATE AEGIS 23MM," $10,576.00 "," $7,403.20 "
PLATE COMP 5TH MET HOOK 5H," $3,819.00 "," $2,673.30 "
PLATE DVRANS-R RIGHT, $176.00 , $123.20 
PLATE DVRANS-R RIGHT," $3,257.00 "," $2,279.90 "
PLATE FLEX 6H 2.4MM, $513.00 , $359.10 
PLATE FLEX 6H 2.4MM," $3,480.00 "," $2,436.00 "
PLATE L 12MM BAR 6 H," $8,785.00 "," $6,149.50 "
PLATE LAPIDUS ALPS," $2,776.00 "," $1,943.20 "
PLATE LAPIDUS AR-8941," $3,023.00 "," $2,116.10 "
PLATE LG INLINE FUSION," $2,278.00 "," $1,594.60 "
PLATE MIDFOOT FUSION SMALL," $2,546.00 "," $1,782.20 "
PLATE ORBITAL 10H, $874.00 , $611.80 
PLATE POSTEROLATERAL 6H LEFT," $2,931.00 "," $2,051.70 "
PLATE RT 55-06761, $993.00 , $695.10 
PLATE RT MEDIAL DIST HUMERAL 7H," $4,404.00 "," $3,082.80 "
PLATE RT MEDIAL LAT HUMERAL 7H," $4,464.00 "," $3,124.80 "
PLATE STD LEFT 3 HOLE DISTAL RAD," $2,667.00 "," $1,866.90 "
PLATE STR PROX HUM 5H 114MM," $6,983.00 "," $4,888.10 "
PLATE STR PROX HUMERUS 3H-9SMM, $892.00 , $624.40 
PLATE STR PROX HUMERUS 3H-9SMM," $6,769.00 "," $4,738.30 "
PLATE Y PLATE 2.0MM 3H, $744.00 , $520.80 
"PLATE,Y", $297.00 , $207.90 
POLYSORB 4-0 GL-181, $432.00 , $302.40 
POLYSORB 4-0 SL-691, $432.00 , $302.40 
POLYSORB 5-0 SL-636, $432.00 , $302.40 
PORT IMPLANTABLE BARDPORT," $1,073.00 ", $751.10 
POST 3.5 X 35 THREADED," $3,156.00 "," $2,209.20 "
POST 6.5 X 40 THREADED," $1,015.00 ", $710.50 
POST BI-CORTICAL 6.5MM X 50MM," $1,005.00 ", $703.50 
PROBE/NEEDLE CRYOABLATION," $8,000.00 "," $5,600.00 "
ROD PRELORDOSED 50MM," $1,012.00 ", $708.40 
ROD PRELORDOSED 75MM," $1,012.00 ", $708.40 
ROD TENDON 5MM," $4,697.00 "," $3,287.90 "
RTI SPI COMP PED & 2-3 PART SCREW," $2,931.00 "," $2,051.70 "
RTI SPI COMP ROD LESS THAN 300MM, $670.00 , $469.00 
SCREW 1.5 X 12 CORT," $1,307.00 ", $914.90 
